1 2 3
634 6 640
635 8 643
636 5 641
637 4 641
638 3 641
639 2 641
640 3 643
641 2 643
642 5 647
643 4 647
644 3 647
645 2 647
646 6 652
647 10 657
648 5 653
649 4 653
650 3 653
651 2 653
652 7 659
653 8 661
654 5 659
655 4 659
656 3 659
657 2 659
658 3 661
659 2 661
660 13 673
661 6 667
662 6 668
663 6 669
664 9 673
665 6 671
666 7 673
667 12 679
668 5 673
669 4 673
670 3 673
671 2 673
672 5 677
673 4 677
674 3 677
675 2 677
676 7 683
677 10 687
678 5 683
679 4 683
680 3 683
681 2 683
682 6 688
683 6 689
684 7 691
685 10 695
686 5 691
687 4 691
688 3 691
689 2 691
690 11 701
691 6 697
692 6 698
693 6 699
694 7 701
695 12 707
696 5 701
697 4 701
698 3 701
699 2 701
700 6 706
701 6 707
702 7 709
703 10 713
704 5 709
705 4 709
706 3 709
707 2 709
708 10 718
709 12 721
710 6 716
711 6 717
712 6 718
713 10 723
714 5 719
715 4 719
716 3 719
717 2 719
718 6 724
719 6 725
720 7 727
721 8 729
722 5 727
723 4 727
724 3 727
725 2 727
726 3 729
727 2 729
728 5 733
729 4 733
730 3 733
731 2 733
732 7 739
733 12 745
734 5 739
735 4 739
736 3 739
737 2 739
738 5 743
739 4 743
740 3 743
741 2 743
742 9 751
743 6 749
744 7 751
745 10 755
746 5 751
747 4 751
748 3 751
749 2 751
750 7 757
751 12 763
752 5 757
753 4 757
754 3 757
755 2 757
756 5 761
757 4 761
758 3 761
759 2 761
760 6 766
761 6 767
762 6 768
763 12 775
764 5 769
765 4 769
766 3 769
767 2 769
768 5 773
769 4 773
770 3 773
771 2 773
772 6 778
773 6 779
774 10 784
775 6 781
776 11 787
777 6 783
778 6 784
779 6 785
780 7 787
781 10 791
782 5 787
783 4 787
784 3 787
785 2 787
786 10 796
787 6 793
788 6 794
789 8 797
790 6 796
791 10 801
792 5 797
793 4 797
794 3 797
795 2 797
796 6 802
797 6 803
798 10 808
799 14 813
800 9 809
801 6 807
802 6 808
803 8 811
804 5 809
805 4 809
806 3 809
807 2 809
808 3 811
809 2 811
810 11 821
811 6 817
812 6 818
813 8 821
814 7 821
815 8 823
816 5 821
817 4 821
818 3 821
819 2 821
820 3 823
821 2 823
822 5 827
823 4 827
824 3 827
825 2 827
826 3 829
827 2 829
828 10 838
829 6 835
830 9 839
831 6 837
832 6 838
833 8 841
834 5 839
835 4 839
836 3 839
837 2 839
838 3 841
839 2 841
840 13 853
841 6 847
842 6 848
843 6 849
844 9 853
845 6 851
846 7 853
847 15 862
848 5 853
849 4 853
850 3 853
851 2 853
852 5 857
853 4 857
854 3 857
855 2 857
856 3 859
857 2 859
858 5 863
859 4 863
860 3 863
861 2 863
862 10 872
863 6 869
864 13 877
865 6 871
866 6 872
867 6 873
868 9 877
869 6 875
870 7 877
871 15 886
872 5 877
873 4 877
874 3 877
875 2 877
876 5 881
877 4 881
878 3 881
879 2 881
880 3 883
881 2 883
882 5 887
883 4 887
884 3 887
885 2 887
886 6 892
887 6 893
888 10 898
889 6 895
890 6 896
891 10 901
892 6 898
893 6 899
894 10 904
895 6 901
896 11 907
897 12 909
898 6 904
899 6 905
900 7 907
901 12 913
902 5 907
903 4 907
904 3 907
905 2 907
906 5 911
907 4 911
908 3 911
909 2 911
910 6 916
911 6 917
912 7 919
913 10 923
914 5 919
915 4 919
916 3 919
917 2 919
918 10 928
919 6 925
920 6 926
921 6 927
922 6 928
923 10 933
924 5 929
925 4 929
926 3 929
927 2 929
928 6 934
929 8 937
930 7 937
931 12 943
932 5 937
933 4 937
934 3 937
935 2 937
936 5 941
937 4 941
938 3 941
939 2 941
940 7 947
941 10 951
942 5 947
943 4 947
944 3 947
945 2 947
946 7 953
947 12 959
948 5 953
949 4 953
950 3 953
951 2 953
952 6 958
953 6 959
954 7 961
955 10 965
956 5 961
957 4 961
958 3 961
959 2 961
960 7 967
961 12 973
962 5 967
963 4 967
964 3 967
965 2 967
966 5 971
967 4 971
968 3 971
969 2 971
970 6 976
971 10 981
972 5 977
973 4 977
974 3 977
975 2 977
976 6 982
977 12 989
978 5 983
979 4 983
980 3 983
981 2 983
982 9 991
983 6 989
984 7 991
985 10 995
986 5 991
987 4 991
988 3 991
989 2 991
990 7 997
991 12 1003
992 5 997
993 4 997
994 3 997
995 2 997
996 10 1006
997 6 1003
998 6 1004
999 12 1011
1000 6 1006
20
